edge_id,start_node,end_node,route_class,estimated_width_px,length_px,added_bridge,polyline_xy
e100,70,58,sub,4.0,37.07,False,"[[645.0, 327.0], [646.0, 301.0], [651.0, 293.0]]"
e101,104,110,sub,4.0,19.41,False,"[[802.0, 418.0], [803.0, 437.0]]"
e102,86,87,sub,4.0,5.41,False,"[[615.0, 361.0], [610.0, 362.0]]"
e103,86,90,mini,2.83,18.49,False,"[[615.0, 361.0], [623.0, 367.0], [631.0, 367.0]]"
e104,24,23,sub,4.0,22.66,False,"[[408.0, 131.0], [403.0, 133.0], [387.0, 131.0]]"
e105,24,41,link,5.66,103.46,False,"[[410.0, 132.0], [422.0, 181.0], [426.0, 188.0], [424.0, 228.0]]"
e106,41,39,sub,4.0,57.73,False,"[[422.0, 229.0], [368.0, 220.0]]"
e107,41,43,link,5.66,24.49,False,"[[425.0, 229.0], [447.0, 235.0]]"
e108,29,31,sub,4.47,30.8,False,"[[633.0, 155.0], [638.0, 156.0], [654.0, 169.0], [658.0, 169.0]]"
e109,92,95,sub,4.47,18.9,False,"[[645.0, 376.0], [645.0, 383.0], [638.0, 392.0]]"
e110,63,60,mini,2.0,21.66,False,"[[323.0, 298.0], [343.0, 296.0]]"
e111,110,113,sub,4.0,45.49,False,"[[803.0, 439.0], [805.0, 474.0], [809.0, 482.0]]"
e112,116,113,sub,4.0,18.07,False,"[[805.0, 500.0], [808.0, 484.0]]"
e113,116,117,sub,4.0,29.66,False,"[[804.0, 500.0], [785.0, 499.0], [780.0, 500.0], [778.0, 504.0]]"
e114,95,107,sub,4.0,26.66,False,"[[638.0, 394.0], [636.0, 419.0]]"
e115,95,97,sub,4.0,27.83,False,"[[637.0, 393.0], [610.0, 395.0]]"
e116,84,91,sub,4.47,26.56,False,"[[698.0, 358.0], [705.0, 365.0], [718.0, 371.0]]"
e117,85,87,sub,4.0,16.41,False,"[[593.0, 361.0], [609.0, 362.0]]"
e118,106,107,link,6.0,26.83,False,"[[609.0, 418.0], [635.0, 420.0]]"
e119,106,97,sub,4.0,22.83,False,"[[608.0, 417.0], [610.0, 395.0]]"
e120,113,112,main,8.0,18.66,False,"[[810.0, 483.0], [822.0, 484.0], [827.0, 481.0]]"
e121,107,108,link,6.32,28.14,False,"[[636.0, 420.0], [660.0, 430.0]]"
e122,48,49,mini,2.83,27.49,False,"[[590.0, 242.0], [615.0, 248.0]]"
e123,101,103,mini,2.0,10.0,False,"[[533.0, 404.0], [533.0, 414.0]]"
e124,77,83,link,6.16,11.0,False,"[[308.0, 346.0], [308.0, 357.0]]"
e125,87,97,sub,4.0,32.41,False,"[[609.0, 363.0], [610.0, 395.0]]"
e126,108,109,mini,2.83,45.31,False,"[[662.0, 430.0], [685.0, 431.0], [704.0, 436.0]]"
e127,108,114,sub,4.47,75.15,False,"[[661.0, 431.0], [682.0, 454.0], [699.0, 486.0], [703.0, 485.0]]"
e128,109,91,sub,4.0,76.49,False,"[[705.0, 436.0], [718.0, 433.0], [719.0, 372.0]]"
e129,109,111,mini,2.0,38.07,False,"[[704.0, 437.0], [702.0, 455.0], [705.0, 473.0]]"
e130,73,71,sub,4.0,23.24,False,"[[530.0, 331.0], [552.0, 330.0]]"
e131,91,88,link,5.66,11.24,False,"[[719.0, 371.0], [723.0, 362.0]]"
